strategy,k,samples,avg_hit_at_k,avg_recall_at_k,avg_mrr,avg_context_precision,avg_context_recall,avg_latency_ms,all_evidence_hit_samples
bm25,1,20,1.0,0.825,1.0,1.0,0.825,0.83,14
bm25,3,20,1.0,0.9375,1.0,0.4,0.9375,0.83,18
bm25,5,20,1.0,0.9375,1.0,0.24,0.9375,0.83,18
bm25,10,20,1.0,0.9875,1.0,0.135,0.9875,0.83,19
bm25_vector_graph_rrf,1,20,0.7,0.5625,0.7,0.7,0.5625,5484.13,9
bm25_vector_graph_rrf,3,20,0.75,0.7125,0.725,0.3167,0.7125,5484.13,14
bm25_vector_graph_rrf,5,20,0.75,0.7125,0.725,0.19,0.7125,5484.13,14
bm25_vector_graph_rrf,10,20,1.0,0.975,0.761,0.13,0.975,5484.13,19
bm25_vector_rrf,1,20,1.0,0.825,1.0,1.0,0.825,3345.14,14
bm25_vector_rrf,3,20,1.0,0.9375,1.0,0.4,0.9375,3345.14,18
bm25_vector_rrf,5,20,1.0,0.9625,1.0,0.25,0.9625,3345.14,19
bm25_vector_rrf,10,20,1.0,0.9875,1.0,0.135,0.9875,3345.14,19
graph,1,20,0.65,0.5125,0.65,0.65,0.5125,2138.99,8
graph,3,20,0.75,0.6875,0.7,0.3,0.6875,2138.99,13
graph,5,20,0.75,0.7125,0.7,0.19,0.7125,2138.99,14
graph,10,20,0.75,0.7375,0.7,0.105,0.7375,2138.99,14
vector,1,20,0.8,0.65,0.8,0.8,0.65,3344.25,11
vector,3,20,1.0,0.9208,0.9,0.3833,0.9208,3344.25,17
vector,5,20,1.0,0.9625,0.9,0.25,0.9625,3344.25,19
vector,10,20,1.0,0.975,0.9,0.13,0.975,3344.25,19
