strategy,k,samples,avg_hit_at_k,avg_recall_at_k,avg_mrr,avg_context_precision,avg_context_recall,avg_latency_ms,all_evidence_hit_samples
bm25_metadata_filtered,1,20,1.0,0.825,1.0,1.0,0.825,0.53,14
bm25_metadata_filtered,3,20,1.0,0.9375,1.0,0.5167,0.9375,0.53,18
bm25_metadata_filtered,5,20,1.0,0.9625,1.0,0.4,0.9625,0.53,19
bm25_unfiltered,1,20,1.0,0.825,1.0,1.0,0.825,0.79,14
bm25_unfiltered,3,20,1.0,0.9375,1.0,0.4,0.9375,0.79,18
bm25_unfiltered,5,20,1.0,0.9375,1.0,0.24,0.9375,0.79,18
bm25_vector_rrf_metadata_filtered,1,20,1.0,0.825,1.0,1.0,0.825,715.08,14
bm25_vector_rrf_metadata_filtered,3,20,1.0,0.9625,1.0,0.5333,0.9625,715.08,19
bm25_vector_rrf_metadata_filtered,5,20,1.0,0.9625,1.0,0.4,0.9625,715.08,19
bm25_vector_rrf_unfiltered,1,20,1.0,0.825,1.0,1.0,0.825,3898.42,14
bm25_vector_rrf_unfiltered,3,20,1.0,0.9375,1.0,0.4,0.9375,3898.42,18
bm25_vector_rrf_unfiltered,5,20,1.0,0.9625,1.0,0.25,0.9625,3898.42,19
router_metadata_filter,1,20,1.0,0.825,1.0,1.0,0.825,3898.32,14
router_metadata_filter,3,20,1.0,0.9375,1.0,0.5167,0.9375,3898.32,18
router_metadata_filter,5,20,1.0,0.9625,1.0,0.4,0.9625,3898.32,19
vector_metadata_post_filter,1,20,0.85,0.675,0.85,0.85,0.675,714.51,11
vector_metadata_post_filter,3,20,1.0,0.9208,0.925,0.5,0.9208,714.51,17
vector_metadata_post_filter,5,20,1.0,0.9625,0.925,0.4,0.9625,714.51,19
vector_unfiltered,1,20,0.8,0.65,0.8,0.8,0.65,3897.57,11
vector_unfiltered,3,20,1.0,0.9208,0.9,0.3833,0.9208,3897.57,17
vector_unfiltered,5,20,1.0,0.9625,0.9,0.25,0.9625,3897.57,19
